casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,77,37,100000.0,300.0,0.0,0.25,85000.0,2.671133518218994,1,21900.0,0.000402094,6.39598e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,77,37,100000.0,300.0,0.0,0.25,85000.0,2.6820809841156006,1,21900.0,0.000402094,6.39598e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,129,37,100000.0,300.0,0.0,0.25,85000.0,5.467221021652222,1,26500.0,0.00023241,2.27203e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,129,37,100000.0,300.0,0.0,0.25,85000.0,5.471175670623779,1,26500.0,0.00023241,2.27203e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,129,37,100000.0,300.0,0.0,0.25,85000.0,5.28512978553772,1,26500.0,0.00023241,2.27203e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,12.815865755081177,1,40050.0,0.000111948,1.2601e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,12.690840244293213,1,40050.0,0.000111948,1.2601e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,12.76035737991333,1,40050.0,0.000111948,1.2601e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,28.524384021759033,1,54100.0,9.09126e-05,1.58017e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,28.258325815200806,1,54100.0,9.09126e-05,1.58017e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,28.31032705307007,1,54100.0,9.09126e-05,1.58017e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,69.96413254737854,1,79900.0,8.32485e-05,1.78481e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,69.85298228263855,1,79900.0,8.32485e-05,1.78481e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,271.1773805618286,1,80650.0,8.34026e-05,1.75185e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,270.8793125152588,1,80650.0,8.34026e-05,1.75185e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,270.8112988471985,1,80650.0,8.34026e-05,1.75185e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.42809438705444336,1,14250.0,0.00476187,0.000136933
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.3990902900695801,1,14250.0,0.00476187,0.000136933
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.3870859146118164,1,14250.0,0.00476187,0.000136933
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.294069766998291,1,8400.0,0.00269564,8.90855e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.29906749725341797,1,8400.0,0.00269564,8.90855e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.2940640449523926,1,8400.0,0.00269564,8.90855e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,0.33507418632507324,1,9750.0,0.00256893,6.88119e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,0.42910265922546387,1,9750.0,0.00256893,6.88119e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,0.3470768928527832,1,9750.0,0.00256893,6.88119e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,0.47110509872436523,1,10950.0,0.00155917,3.80899e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,0.4921088218688965,1,10950.0,0.00155917,3.80899e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,0.4631035327911377,1,10950.0,0.00155917,3.80899e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,0.9762372970581055,1,18000.0,0.000686158,1.25652e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,0.9662144184112549,1,18000.0,0.000686158,1.25652e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,0.9902236461639404,1,18000.0,0.000686158,1.25652e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,71.01743650436401,1,79900.0,8.32485e-05,1.78481e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0.8,100000,1,2,1,46,37,100000.0,300.0,0.0,0.25,85000.0,1.7673935890197754,1,21300.0,0.000271781,4.94168e-06
