casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.935431957244873,1,5850.0,0.00996074,0.000169388
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,2.337026357650757,1,5850.0,0.0099816,0.000169422
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,2.3570311069488525,1,5850.0,0.0099816,0.000169422
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,2.232224464416504,1,5850.0,0.0099816,0.000169422
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.19763708114624023,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.20363879203796387,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.20363879203796387,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2160491943359375,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.21705007553100586,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2250504493713379,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.23005199432373047,2,50.0,5.38341e+27,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.23305344581604004,2,50.0,5.38341e+27,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.15003728866577148,2,50.0,5.38341e+27,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.1690375804901123,2,50.0,6.98526e+27,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.16403627395629883,2,50.0,6.98526e+27,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.16503643989562988,2,50.0,6.98526e+27,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.17103910446166992,2,50.0,0.0,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.17203831672668457,2,50.0,0.0,nan
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.3,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2481238842010498,2,50.0,0.0,nan
